method,constraints,n_examples,exec_acc_mean,executable_rate,throughput,main_throughput,goodput,goodput_correct,useful_frac,acc_len_mean,acc_rate_mean,xgrammar_rejects,z3_rejects,constraint_rejects,xgrammar_time_s,z3_time_s,wall_time_s,width
ar_target,both,50,0.26,0.38,11.717299985955181,10.52674497218466,2.645677808378938,1.648460788297646,0.22579244463742945,0.0,0.0,0,317,317,125.977739701,5.2257257809999995,196.546986316,
ar_target,none,50,0.48,0.6,16.293132114770344,16.293132114770344,9.718349924699082,7.745915267677704,0.5964691046658259,0.0,0.0,0,0,0,0.0,0.0,194.68325535300002,
dsbd,both,42,0.5476190476190477,0.7857142857142857,56.716020481689156,4.4036973616898205,3.4574754007021937,2.40975558230759,0.060961177659113866,0.010331384015594528,0.0072626076640333525,83133,30,83163,191.180295959,0.263625939,610.850333041,4.0
dsbd,none,50,0.58,0.78,70.97163781988829,19.968788132080082,15.590310734312064,11.590446444858713,0.21966959215281362,2.6718034256764907,0.707051090770565,0,0,0,0.0,0.0,163.75555583899998,4.0
dsbd,xgrammar,43,0.5581395348837209,0.6744186046511628,56.20788075709855,4.439841786553823,2.9943119025595553,2.4780512297044597,0.05327210103329506,0.03932360608194583,0.024827864240650324,82733,0,82733,197.28919097999997,0.0,619.841907055,4.0
dsbd,z3,50,0.6,0.8,69.56049859825681,13.912099719651364,11.13824106785626,8.351540477858403,0.16012307692307692,2.0700374182094414,0.5574523062464309,0,657,657,0.0,14.504294071000002,233.609596358,4.0
